TIME_STAMP	Qualcomm 5G-NR MAC UL DCI Info_Ver2[Per Slot] PCell UL DCI UL_DCI Slot Info BWP Ind
2022-03-02 17:40:10.273321	1
2022-03-02 17:40:10.276330	1
2022-03-02 17:40:10.279286	1
2022-03-02 17:40:10.279328	1
2022-03-02 17:40:10.282328	1
2022-03-02 17:40:10.285214	1
2022-03-02 17:40:10.288295	1
2022-03-02 17:40:10.291327	1
2022-03-02 17:40:10.292305	1
2022-03-02 17:40:10.294305	1
2022-03-02 17:40:10.298197	1
2022-03-02 17:40:10.300197	1
2022-03-02 17:40:10.303328	1
2022-03-02 17:40:10.306319	1
2022-03-02 17:40:10.309298	1
2022-03-02 17:40:10.309330	1
2022-03-02 17:40:10.312330	1
2022-03-02 17:40:10.315244	1
2022-03-02 17:40:10.318315	1
2022-03-02 17:40:10.321318	1
2022-03-02 17:40:10.322309	1
2022-03-02 17:40:10.324309	1
2022-03-02 17:40:10.328201	1
2022-03-02 17:40:10.330201	1
2022-03-02 17:40:10.333337	1
2022-03-02 17:40:10.336343	1
2022-03-02 17:40:10.339287	1
2022-03-02 17:40:10.339334	1
2022-03-02 17:40:10.342334	1
2022-03-02 17:40:10.345211	1
2022-03-02 17:40:10.348323	1
2022-03-02 17:40:10.351330	1
2022-03-02 17:40:10.352317	1
2022-03-02 17:40:10.354317	1
2022-03-02 17:40:10.358197	1
2022-03-02 17:40:10.360197	1
2022-03-02 17:40:10.363323	1
2022-03-02 17:40:10.366323	1
2022-03-02 17:40:10.369300	1
2022-03-02 17:40:10.369326	1
2022-03-02 17:40:10.372326	1
2022-03-02 17:40:10.375221	1
2022-03-02 17:40:10.378322	1
2022-03-02 17:40:10.381330	1
2022-03-02 17:40:10.382296	1
2022-03-02 17:40:10.384296	1
2022-03-02 17:40:10.388202	1
2022-03-02 17:40:10.390202	1
2022-03-02 17:40:10.393304	1
2022-03-02 17:40:10.396321	1
2022-03-02 17:40:10.399290	1
2022-03-02 17:40:10.399332	1
2022-03-02 17:40:10.402332	1
2022-03-02 17:40:10.405223	1
2022-03-02 17:40:10.408320	1
2022-03-02 17:40:10.411295	1
2022-03-02 17:40:10.412301	1
2022-03-02 17:40:10.414301	1
2022-03-02 17:40:10.418196	1
2022-03-02 17:40:10.420196	1
2022-03-02 17:40:10.423325	1
2022-03-02 17:40:10.426320	1
2022-03-02 17:40:10.429301	1
2022-03-02 17:40:10.429325	1
2022-03-02 17:40:10.432325	1
2022-03-02 17:40:10.435233	1
2022-03-02 17:40:10.438298	1
2022-03-02 17:40:10.441303	1
2022-03-02 17:40:10.442293	1
2022-03-02 17:40:10.444294	1
2022-03-02 17:40:10.448204	1
2022-03-02 17:40:10.450204	1
2022-03-02 17:40:10.453305	1
2022-03-02 17:40:10.456321	1
2022-03-02 17:40:10.459290	1
2022-03-02 17:40:10.459324	1
2022-03-02 17:40:10.462324	1
2022-03-02 17:40:10.465215	1
2022-03-02 17:40:10.468320	1
2022-03-02 17:40:10.471319	1
2022-03-02 17:40:10.472304	1
2022-03-02 17:40:10.474304	1
2022-03-02 17:40:10.478196	1
2022-03-02 17:40:10.480196	1
2022-03-02 17:40:10.483326	1
2022-03-02 17:40:10.486319	1
2022-03-02 17:40:10.489299	1
2022-03-02 17:40:10.489326	1
2022-03-02 17:40:10.492326	1
2022-03-02 17:40:10.495215	1
2022-03-02 17:40:10.498325	1
2022-03-02 17:40:10.501329	1
2022-03-02 17:40:10.502293	1
2022-03-02 17:40:10.504293	1
2022-03-02 17:40:10.508198	1
2022-03-02 17:40:10.510198	1
2022-03-02 17:40:10.513332	1
2022-03-02 17:40:10.516325	1
2022-03-02 17:40:10.519290	1
2022-03-02 17:40:10.519318	1
2022-03-02 17:40:10.522318	1
2022-03-02 17:40:10.525218	1
2022-03-02 17:40:10.528296	1
2022-03-02 17:40:10.531319	1
2022-03-02 17:40:10.532300	1
2022-03-02 17:40:10.534300	1
2022-03-02 17:40:10.538194	1
2022-03-02 17:40:10.540194	1
2022-03-02 17:40:10.543324	1
2022-03-02 17:40:10.546320	1
2022-03-02 17:40:10.549297	1
2022-03-02 17:40:10.549323	1
2022-03-02 17:40:10.552323	1
2022-03-02 17:40:10.555250	1
2022-03-02 17:40:10.558323	1
2022-03-02 17:40:10.561328	1
2022-03-02 17:40:10.562293	1
2022-03-02 17:40:10.564293	1
2022-03-02 17:40:10.568183	1
2022-03-02 17:40:10.570183	1
2022-03-02 17:40:10.573302	1
2022-03-02 17:40:10.576295	1
2022-03-02 17:40:10.579291	1
2022-03-02 17:40:10.579305	1
2022-03-02 17:40:10.582305	1
2022-03-02 17:40:10.585182	1
2022-03-02 17:40:10.588304	1
2022-03-02 17:40:10.591339	1
2022-03-02 17:40:10.592306	1
2022-03-02 17:40:10.594306	1
2022-03-02 17:40:10.598193	1
2022-03-02 17:40:10.600193	1
2022-03-02 17:40:10.603320	1
2022-03-02 17:40:10.606321	1
2022-03-02 17:40:10.609298	1
2022-03-02 17:40:10.609331	1
2022-03-02 17:40:10.612331	1
2022-03-02 17:40:10.615215	1
2022-03-02 17:40:10.618324	1
2022-03-02 17:40:10.621327	1
2022-03-02 17:40:10.622293	1
2022-03-02 17:40:10.624293	1
2022-03-02 17:40:10.628190	1
2022-03-02 17:40:10.630190	1
2022-03-02 17:40:10.633332	1
2022-03-02 17:40:10.636314	1
2022-03-02 17:40:10.639276	1
2022-03-02 17:40:10.639315	1
2022-03-02 17:40:10.642315	1
2022-03-02 17:40:10.645210	1
2022-03-02 17:40:10.648325	1
2022-03-02 17:40:10.651331	1
2022-03-02 17:40:10.652311	1
2022-03-02 17:40:10.654311	1
2022-03-02 17:40:10.658188	1
2022-03-02 17:40:10.660188	1
2022-03-02 17:40:10.663324	1
2022-03-02 17:40:10.666294	1
2022-03-02 17:40:10.669300	1
2022-03-02 17:40:10.669342	1
2022-03-02 17:40:10.672342	1
2022-03-02 17:40:10.675276	1
2022-03-02 17:40:10.678321	1
2022-03-02 17:40:10.681326	1
2022-03-02 17:40:10.682295	1
2022-03-02 17:40:10.684295	1
2022-03-02 17:40:10.688199	1
2022-03-02 17:40:10.690199	1
2022-03-02 17:40:10.693328	1
2022-03-02 17:40:10.696319	1
2022-03-02 17:40:10.699289	1
2022-03-02 17:40:10.699325	1
2022-03-02 17:40:10.702325	1
2022-03-02 17:40:10.705209	1
2022-03-02 17:40:10.708297	1
2022-03-02 17:40:10.711293	1
2022-03-02 17:40:10.712302	1
2022-03-02 17:40:10.714302	1
2022-03-02 17:40:10.718192	1
2022-03-02 17:40:10.720192	1
2022-03-02 17:40:10.723318	1
2022-03-02 17:40:10.726318	1
2022-03-02 17:40:10.729298	1
2022-03-02 17:40:10.729315	1
2022-03-02 17:40:10.732315	1
2022-03-02 17:40:10.735221	1
2022-03-02 17:40:10.738298	1
2022-03-02 17:40:10.741321	1
2022-03-02 17:40:10.742295	1
2022-03-02 17:40:10.744295	1
2022-03-02 17:40:10.748201	1
2022-03-02 17:40:10.750201	1
2022-03-02 17:40:10.753304	1
2022-03-02 17:40:10.756320	1
2022-03-02 17:40:10.759290	1
2022-03-02 17:40:10.759330	1
2022-03-02 17:40:10.762330	1
2022-03-02 17:40:10.765225	1
2022-03-02 17:40:10.768321	1
2022-03-02 17:40:10.771293	1
2022-03-02 17:40:10.772301	1
2022-03-02 17:40:10.774301	1
2022-03-02 17:40:10.778194	1
2022-03-02 17:40:10.780194	1
2022-03-02 17:40:10.783296	1
2022-03-02 17:40:10.786296	1
2022-03-02 17:40:10.789298	1
2022-03-02 17:40:10.789323	1
2022-03-02 17:40:10.792323	1
2022-03-02 17:40:10.795227	1
2022-03-02 17:40:10.798320	1
2022-03-02 17:40:10.801302	1
2022-03-02 17:40:10.802299	1
2022-03-02 17:40:10.804299	1
2022-03-02 17:40:10.808201	1
2022-03-02 17:40:10.810201	1
2022-03-02 17:40:10.813330	1
2022-03-02 17:40:10.816324	1
2022-03-02 17:40:10.819289	1
2022-03-02 17:40:10.819331	1
2022-03-02 17:40:10.822331	1
2022-03-02 17:40:10.825222	1
2022-03-02 17:40:10.828320	1
2022-03-02 17:40:10.831294	1
2022-03-02 17:40:10.832299	1
2022-03-02 17:40:10.834299	1
2022-03-02 17:40:10.838194	1
2022-03-02 17:40:10.840194	1
2022-03-02 17:40:10.843319	1
2022-03-02 17:40:10.846321	1
2022-03-02 17:40:10.849299	1
2022-03-02 17:40:10.849327	1
2022-03-02 17:40:10.852327	1
2022-03-02 17:40:10.855232	1
2022-03-02 17:40:10.858299	1
2022-03-02 17:40:10.861327	1
2022-03-02 17:40:10.862292	1
2022-03-02 17:40:10.864292	1
2022-03-02 17:40:10.868198	1
2022-03-02 17:40:10.870199	1
2022-03-02 17:40:10.873330	1
2022-03-02 17:40:10.876319	1
2022-03-02 17:40:10.879289	1
2022-03-02 17:40:10.879333	1
2022-03-02 17:40:10.882333	1
2022-03-02 17:40:10.885220	1
2022-03-02 17:40:10.888300	1
2022-03-02 17:40:10.891320	1
2022-03-02 17:40:10.892304	1
2022-03-02 17:40:10.894304	1
2022-03-02 17:40:10.898194	1
2022-03-02 17:40:10.900194	1
2022-03-02 17:40:10.903307	1
2022-03-02 17:40:10.906302	1
2022-03-02 17:40:10.909299	1
2022-03-02 17:40:10.909317	1
2022-03-02 17:40:10.912317	1
2022-03-02 17:40:10.915302	1
2022-03-02 17:40:10.918341	1
2022-03-02 17:40:10.921334	1
2022-03-02 17:40:10.922307	1
2022-03-02 17:40:10.924307	1
2022-03-02 17:40:10.928186	1
2022-03-02 17:40:10.930186	1
2022-03-02 17:40:10.933321	1
2022-03-02 17:40:10.936294	1
2022-03-02 17:40:10.939293	1
2022-03-02 17:40:10.939343	1
2022-03-02 17:40:10.942343	1
2022-03-02 17:40:10.945226	1
2022-03-02 17:40:10.948333	1
2022-03-02 17:40:10.951350	1
2022-03-02 17:40:10.952310	1
2022-03-02 17:40:10.954310	1
2022-03-02 17:40:10.958180	1
2022-03-02 17:40:10.960180	1
2022-03-02 17:40:10.963324	1
2022-03-02 17:40:10.966301	1
2022-03-02 17:40:10.969299	1
2022-03-02 17:40:10.969316	1
2022-03-02 17:40:10.972316	1
2022-03-02 17:40:10.975234	1
2022-03-02 17:40:10.978318	1
2022-03-02 17:40:10.981302	1
2022-03-02 17:40:10.982297	1
2022-03-02 17:40:10.984297	1
2022-03-02 17:40:10.988199	1
2022-03-02 17:40:10.990199	1
2022-03-02 17:40:10.993351	1
2022-03-02 17:40:10.996331	1
2022-03-02 17:40:10.999289	1
2022-03-02 17:40:10.999312	1
2022-03-02 17:40:11.002312	1
2022-03-02 17:40:11.005218	1
2022-03-02 17:40:11.008297	1
2022-03-02 17:40:11.011293	1
2022-03-02 17:40:11.012300	1
2022-03-02 17:40:11.014300	1
2022-03-02 17:40:11.018194	1
2022-03-02 17:40:11.020194	1
2022-03-02 17:40:11.023320	1
2022-03-02 17:40:11.026317	1
2022-03-02 17:40:11.029297	1
2022-03-02 17:40:11.029317	1
2022-03-02 17:40:11.032317	1
2022-03-02 17:40:11.035238	1
2022-03-02 17:40:11.038295	1
2022-03-02 17:40:11.041299	1
2022-03-02 17:40:11.042297	1
2022-03-02 17:40:11.044297	1
2022-03-02 17:40:11.048195	1
2022-03-02 17:40:11.050195	1
2022-03-02 17:40:11.053319	1
2022-03-02 17:40:11.056295	1
2022-03-02 17:40:11.059286	1
2022-03-02 17:40:11.059316	1
2022-03-02 17:40:11.062316	1
2022-03-02 17:40:11.065229	1
2022-03-02 17:40:11.068318	1
2022-03-02 17:40:11.071293	1
2022-03-02 17:40:11.072302	1
2022-03-02 17:40:11.074302	1
2022-03-02 17:40:11.078193	1
2022-03-02 17:40:11.080193	1
2022-03-02 17:40:11.083321	1
2022-03-02 17:40:11.086294	1
2022-03-02 17:40:11.089288	1
2022-03-02 17:40:11.089326	1
2022-03-02 17:40:11.092326	1
2022-03-02 17:40:11.095228	1
2022-03-02 17:40:11.098322	1
2022-03-02 17:40:11.101302	1
2022-03-02 17:40:11.102295	1
2022-03-02 17:40:11.104295	1
2022-03-02 17:40:11.108197	1
2022-03-02 17:40:11.110197	1
2022-03-02 17:40:11.113302	1
2022-03-02 17:40:11.116317	1
2022-03-02 17:40:11.119288	1
2022-03-02 17:40:11.119318	1
2022-03-02 17:40:11.122318	1
2022-03-02 17:40:11.125217	1
2022-03-02 17:40:11.128294	1
2022-03-02 17:40:11.131318	1
2022-03-02 17:40:11.132297	1
2022-03-02 17:40:11.134297	1
2022-03-02 17:40:11.138196	1
2022-03-02 17:40:11.140196	1
2022-03-02 17:40:11.143320	1
2022-03-02 17:40:11.146317	1
2022-03-02 17:40:11.149298	1
2022-03-02 17:40:11.149324	1
2022-03-02 17:40:11.152324	1
2022-03-02 17:40:11.155258	1
2022-03-02 17:40:11.158323	1
2022-03-02 17:40:11.161302	1
2022-03-02 17:40:11.162289	1
2022-03-02 17:40:11.164289	1
2022-03-02 17:40:11.168198	1
2022-03-02 17:40:11.170198	1
2022-03-02 17:40:11.173293	1
2022-03-02 17:40:11.176293	1
2022-03-02 17:40:11.179287	1
2022-03-02 17:40:11.179320	1
2022-03-02 17:40:11.182320	1
2022-03-02 17:40:11.185207	1
2022-03-02 17:40:11.188299	1
2022-03-02 17:40:11.191291	1
2022-03-02 17:40:11.192295	1
2022-03-02 17:40:11.194295	1
2022-03-02 17:40:11.198193	1
2022-03-02 17:40:11.200193	1
2022-03-02 17:40:11.203318	1
2022-03-02 17:40:11.206294	1
2022-03-02 17:40:11.209289	1
2022-03-02 17:40:11.209316	1
2022-03-02 17:40:11.212316	1
2022-03-02 17:40:11.215227	1
2022-03-02 17:40:11.218296	1
2022-03-02 17:40:11.221279	1
2022-03-02 17:40:11.222272	1
2022-03-02 17:40:11.224272	1
2022-03-02 17:40:11.228229	1
2022-03-02 17:40:11.230229	1
2022-03-02 17:40:11.233294	1
2022-03-02 17:40:11.236294	1
2022-03-02 17:40:11.239287	1
2022-03-02 17:40:11.239334	1
2022-03-02 17:40:11.242334	1
2022-03-02 17:40:11.245224	1
2022-03-02 17:40:11.248304	1
2022-03-02 17:40:11.251313	1
2022-03-02 17:40:11.252314	1
2022-03-02 17:40:11.254314	1
2022-03-02 17:40:11.258185	1
2022-03-02 17:40:11.260185	1
2022-03-02 17:40:11.263297	1
2022-03-02 17:40:11.266289	1
2022-03-02 17:40:11.269289	1
2022-03-02 17:40:11.269330	1
2022-03-02 17:40:11.272330	1
2022-03-02 17:40:11.275250	1
2022-03-02 17:40:11.278281	1
2022-03-02 17:40:11.281285	1
2022-03-02 17:40:11.282288	1
2022-03-02 17:40:11.284288	1
2022-03-02 17:40:11.288203	1
2022-03-02 17:40:11.290203	1
2022-03-02 17:40:11.293314	1
2022-03-02 17:40:11.296320	1
2022-03-02 17:40:11.299281	1
2022-03-02 17:40:11.299327	1
2022-03-02 17:40:11.302327	1
2022-03-02 17:40:11.305203	1
2022-03-02 17:40:11.308291	1
2022-03-02 17:40:11.311305	1
2022-03-02 17:40:11.312329	1
2022-03-02 17:40:11.314330	1
2022-03-02 17:40:11.318193	1
2022-03-02 17:40:11.320193	1
2022-03-02 17:40:11.323291	1
2022-03-02 17:40:11.326291	1
2022-03-02 17:40:11.329286	1
2022-03-02 17:40:11.329314	1
2022-03-02 17:40:11.332314	1
2022-03-02 17:40:11.335219	1
2022-03-02 17:40:11.338292	1
2022-03-02 17:40:11.341291	1
2022-03-02 17:40:11.342285	1
2022-03-02 17:40:11.344285	1
2022-03-02 17:40:11.348195	1
2022-03-02 17:40:11.350195	1
2022-03-02 17:40:11.353294	1
2022-03-02 17:40:11.356288	1
2022-03-02 17:40:11.359283	1
2022-03-02 17:40:11.359322	1
2022-03-02 17:40:11.362322	1
2022-03-02 17:40:11.365224	1
2022-03-02 17:40:11.368294	1
